,game_id,competition_id_game,season,round,date_game,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,appearance_id,player_id_Merged,date_appearances,player_name_Merged,competition_id_appearances,yellow_cards,red_cards,goals,assists,minutes_played,game_lineups_id,type_Merged2,number,player_id_lineups,player_name_lineups,team_captain,position_Merged3,game_event_id,date,minute,type_events,player_id,description,Sub/Assist_player_id,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_final,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
0,2222734.0,RU1,2012.0,19. Matchday,2012-12-07,2.0,3.0,11.0,10.0,Miodrag Bozovic,Slavoljub Muslin,Olimp-2,5700.0,Sergey Kuznetsov,FK Rostov,FK Krasnodar,02:03:00,domestic_league,2222734_104203,104203.0,2012-12-07,Eugene Starikov,RU1,0.0,0.0,0.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2224572.0,DK1,2012.0,3. Matchday,2012-07-28,1.0,2.0,12.0,1.0,Jess Thorup,Lars SÃ¶ndergaard,Blue Water Arena,5345.0,Michael Svendsen,Esbjerg fB,SÃ¶nderjyskE,01:02:00,domestic_league,2224572_161244,161244.0,2012-07-28,Conor O'Brien,DK1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2224628.0,DK1,2012.0,22. Matchday,2013-03-08,2.0,0.0,3.0,10.0,Colin Todd,Lars SÃ¶ndergaard,Cepheus Park Randers,3481.0,Jakob Kehlet,Randers Fodbold Club,SÃ¶nderjyskE,02:00:00,domestic_league,2224628_46472,46472.0,2013-03-08,Charlie Davies,DK1,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2224655.0,DK1,2012.0,22. Matchday,2013-03-10,0.0,3.0,6.0,12.0,Peter SÃ¶rensen,Auri Skarbalius,Ceres Park,7967.0,Kenn Hansen,Aarhus Gymnastik Forening,BrÃ¸ndby IdrÃ¦tsforening,00:03:00,domestic_league,2224655_39467,39467.0,2013-03-10,Clarence Goodson,DK1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2224729.0,DK1,2012.0,1. Matchday,2012-07-15,0.0,1.0,9.0,5.0,Auri Skarbalius,Troels Bech,BrÃ¸ndby Stadion,10806.0,Lars Christoffersen,BrÃ¸ndby IdrÃ¦tsforening,Odense Boldklub,00:01:00,domestic_league,2224729_39467,39467.0,2012-07-15,Clarence Goodson,DK1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2224902.0,BE1,2012.0,24. Matchday,2013-01-26,0.0,2.0,4.0,1.0,Peter Maes,John van den Brom,Daknamstadion,7877.0,Peter Vervecken,KSC Lokeren (- 2020),Royal Sporting Club Anderlecht,00:02:00,domestic_league,2224902_39475,39475.0,2013-01-26,Sacha Kljestan,BE1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2225555.0,GB1,2012.0,14. Matchday,2012-11-27,1.0,0.0,17.0,19.0,Paul Lambert,Brian McDermott,Villa Park,28692.0,Lee Probert,Aston Villa Football Club,Reading FC,01:00:00,domestic_league,2225555_39471,39471.0,2012-11-27,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2231594.0,L1,2012.0,29. Matchday,2013-04-12,3.0,1.0,5.0,10.0,Christian Streich,Mirko Slomka,Dreisamstadion,24000.0,Deniz Aytekin,Sport-Club Freiburg,Hannover 96,03:01:00,domestic_league,2231594_1335,1335.0,2013-04-12,Steven Cherundolo,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2231667.0,L1,2012.0,34. Matchday,2013-05-18,1.0,2.0,2.0,16.0,JÃ¼rgen Klopp,Markus Gisdol,SIGNAL IDUNA PARK,80645.0,Dr. Jochen Drees,Borussia Dortmund,TSG 1899 Hoffenheim FuÃŸball-Spielbetriebs GmbH,01:02:00,domestic_league,2231667_31041,31041.0,2013-05-18,Fabian Johnson,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2244111.0,TR1,2012.0,26. Matchday,2013-03-15,3.0,2.0,5.0,13.0,Hikmet Karaman,Tolunay Kafkas,Bursa AtatÃ¼rk Stadyumu,15405.0,Serkan Cinar,Bursaspor,Trabzonspor KulÃ¼bÃ¼,03:02:00,domestic_league,2244111_50987,50987.0,2013-03-15,Maurice Edu,TR1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2251439.0,IT1,2012.0,18. Matchday,2012-12-22,4.0,2.0,6.0,7.0,ZdenÄ›k Zeman,Massimiliano Allegri,Olimpico di Roma,50206.0,Gianluca Rocchi,Associazione Sportiva Roma,Associazione Calcio Milan,04:02:00,domestic_league,2251439_30593,30593.0,2012-12-22,Michael Bradley,IT1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2251510.0,IT1,2012.0,26. Matchday,2013-02-24,2.0,3.0,16.0,8.0,Stefano Colantuono,Aurelio Andreazzoli,Gewiss Stadium,12160.0,Andrea De Marco,Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,02:03:00,domestic_league,2251510_30593,30593.0,2013-02-24,Michael Bradley,IT1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2258990.0,GB1,2012.0,23. Matchday,2013-01-21,0.0,0.0,15.0,5.0,Mauricio Pochettino,David Moyes,St Mary's Stadium,28359.0,Neil Swarbrick,Southampton FC,Everton Football Club,00:00:00,domestic_league,2258990_4267,4267.0,2013-01-21,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2259003.0,GB1,2012.0,24. Matchday,2013-01-30,2.0,1.0,5.0,9.0,David Moyes,Steve Clarke,Goodison Park,31376.0,Michael Oliver,Everton Football Club,West Bromwich Albion,02:01:00,domestic_league,2259003_4267,4267.0,2013-01-30,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2321027.0,L1,2013.0,1. Matchday,2013-08-11,3.0,3.0,8.0,9.0,Jens Keller,Thorsten Fink,Veltins-Arena,61973.0,Manuel GrÃ¤fe,FC Schalke 04,Hamburger SV,03:03:00,domestic_league,2321027_1321,1321.0,2013-08-11,Jermaine Jones,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2321079.0,L1,2013.0,5. Matchday,2013-09-15,1.0,1.0,18.0,16.0,Torsten Lieberknecht,Michael Wiesinger,EINTRACHT-Stadion,22570.0,Marco Fritz,Eintracht Braunschweig,1.FC Nuremberg,01:01:00,domestic_league,2321079_49723,49723.0,2013-09-15,Timothy Chandler,L1,0.0,0.0,0.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2321152.0,L1,2013.0,11. Matchday,2013-11-02,0.0,2.0,7.0,6.0,Jos Luhukay,Jens Keller,Olympiastadion Berlin,69277.0,GÃ¼nter Perl,Hertha BSC,FC Schalke 04,00:02:00,domestic_league,2321152_1321,1321.0,2013-11-02,Jermaine Jones,L1,0.0,0.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2321330.0,L1,2013.0,31. Matchday,2014-04-19,0.0,0.0,8.0,10.0,Markus Weinzierl,Jos Luhukay,WWK ARENA,30059.0,Dr. Jochen Drees,FC Augsburg 1907,Hertha BSC,00:00:00,domestic_league,2321330_124732,124732.0,2014-04-19,John Anthony Brooks,L1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2332041.0,GB1,2013.0,14. Matchday,2013-12-04,2.0,3.0,8.0,10.0,Mauricio Pochettino,Paul Lambert,St Mary's Stadium,29814.0,Jonathan Moss,Southampton FC,Aston Villa Football Club,02:03:00,domestic_league,2332041_39471,39471.0,2013-12-04,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2332184.0,GB1,2013.0,29. Matchday,2014-03-25,0.0,3.0,8.0,6.0,Alan Pardew,Roberto MartÃ­nez,St James' Park,47622.0,Lee Mason,Newcastle United Football Club,Everton Football Club,00:03:00,domestic_league,2332184_4267,4267.0,2014-03-25,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2332234.0,GB1,2013.0,23. Matchday,2014-01-29,4.0,3.0,10.0,15.0,Paul Lambert,Pepe Mel,Villa Park,36083.0,Mark Clattenburg,Aston Villa Football Club,West Bromwich Albion,04:03:00,domestic_league,2332234_39471,39471.0,2014-01-29,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2332259.0,GB1,2013.0,37. Matchday,2014-05-03,2.0,3.0,5.0,1.0,Roberto MartÃ­nez,Manuel Pellegrini,Goodison Park,39454.0,Lee Probert,Everton Football Club,Manchester City Football Club,02:03:00,domestic_league,2332259_4267,4267.0,2014-05-03,Tim Howard,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2332288.0,GB1,2013.0,35. Matchday,2014-04-19,0.0,0.0,15.0,8.0,Paul Lambert,Mauricio Pochettino,Villa Park,35134.0,Lee Mason,Aston Villa Football Club,Southampton FC,00:00:00,domestic_league,2332288_39471,39471.0,2014-04-19,Brad Guzan,GB1,0.0,0.0,0.0,0.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
